gRNA_id	gRNA_group	gRNA_type
sgRNA_22054180.22054370_22054342_gene	sgRNA_22054180.22054370	enh_target
sgRNA_22054180.22054370_22054345_gene	sgRNA_22054180.22054370	enh_target
sgRNA_22054180.22054370_22054359_gene	sgRNA_22054180.22054370	enh_target
sgRNA_22054599.22054753_22054611_gene	sgRNA_22054599.22054753	enh_target
sgRNA_22054599.22054753_22054659_gene	sgRNA_22054599.22054753	enh_target
sgRNA_22055098.22055526_22055485_gene	sgRNA_22055098.22055526	enh_target
sgRNA_22055098.22055526_22055501_gene	sgRNA_22055098.22055526	enh_target
sgRNA_22055098.22055526_22055505_gene	sgRNA_22055098.22055526	enh_target
sgRNA_22055098.22055526_22055507_gene	sgRNA_22055098.22055526	enh_target
sgRNA_22056244.22056527_22056432_gene	sgRNA_22056244.22056527	enh_target
sgRNA_22056244.22056527_22056446_gene	sgRNA_22056244.22056527	enh_target
sgRNA_22056244.22056527_22056474_gene	sgRNA_22056244.22056527	enh_target
sgRNA_22059886.22060152_22059976_gene	sgRNA_22059886.22060152	enh_target
sgRNA_22059886.22060152_22059989_gene	sgRNA_22059886.22060152	enh_target
sgRNA_22059886.22060152_22060090_gene	sgRNA_22059886.22060152	enh_target
sgRNA_22059886.22060152_22060118_gene	sgRNA_22059886.22060152	enh_target
sgRNA_22062048.22062204_22062099_gene	sgRNA_22062048.22062204	enh_target
sgRNA_22062048.22062204_22062132_gene	sgRNA_22062048.22062204	enh_target
sgRNA_22062048.22062204_22062178_gene	sgRNA_22062048.22062204	enh_target
sgRNA_22064992.22065795_22065099_gene	sgRNA_22064992.22065795	enh_target
sgRNA_22064992.22065795_22065598_gene	sgRNA_22064992.22065795	enh_target
sgRNA_22064992.22065795_22065728_gene	sgRNA_22064992.22065795	enh_target
sgRNA_22064992.22065795_22065753_gene	sgRNA_22064992.22065795	enh_target
sgRNA_22066070.22068679_22067587_gene	sgRNA_22066070.22068679	enh_target
sgRNA_22066070.22068679_22068509_gene	sgRNA_22066070.22068679	enh_target
sgRNA_22066070.22068679_22068583_gene	sgRNA_22066070.22068679	enh_target
sgRNA_22066070.22068679_22068586_gene	sgRNA_22066070.22068679	enh_target
sgRNA_22075783.22076079_22075788_gene	sgRNA_22075783.22076079	enh_target
sgRNA_22075783.22076079_22075948_gene	sgRNA_22075783.22076079	enh_target
sgRNA_22075783.22076079_22076039_gene	sgRNA_22075783.22076079	enh_target
sgRNA_22078077.22078428_22078227_gene	sgRNA_22078077.22078428	enh_target
sgRNA_22078077.22078428_22078296_gene	sgRNA_22078077.22078428	enh_target
sgRNA_22078077.22078428_22078348_gene	sgRNA_22078077.22078428	enh_target
sgRNA_22078077.22078428_22078355_gene	sgRNA_22078077.22078428	enh_target
sgRNA_22078478.22078659_22078492_gene	sgRNA_22078478.22078659	enh_target
sgRNA_22078478.22078659_22078521_gene	sgRNA_22078478.22078659	enh_target
sgRNA_22078478.22078659_22078548_gene	sgRNA_22078478.22078659	enh_target
sgRNA_22078478.22078659_22078591_gene	sgRNA_22078478.22078659	enh_target
sgRNA_22079897.22080362_22079919_gene	sgRNA_22079897.22080362	enh_target
sgRNA_22079897.22080362_22079927_gene	sgRNA_22079897.22080362	enh_target
sgRNA_22079897.22080362_22080067_gene	sgRNA_22079897.22080362	enh_target
sgRNA_22079897.22080362_22080188_gene	sgRNA_22079897.22080362	enh_target
sgRNA_22083329.22083491_22083409_gene	sgRNA_22083329.22083491	enh_target
sgRNA_22083329.22083491_22083441_gene	sgRNA_22083329.22083491	enh_target
sgRNA_22083329.22083491_22083465_gene	sgRNA_22083329.22083491	enh_target
sgRNA_22084660.22085153_22084801_gene	sgRNA_22084660.22085153	enh_target
sgRNA_22084660.22085153_22084872_gene	sgRNA_22084660.22085153	enh_target
sgRNA_22084660.22085153_22084892_gene	sgRNA_22084660.22085153	enh_target
sgRNA_22084660.22085153_22084983_gene	sgRNA_22084660.22085153	enh_target
sgRNA_22088687.22089037_22088902_gene	sgRNA_22088687.22089037	enh_target
sgRNA_22088687.22089037_22088910_gene	sgRNA_22088687.22089037	enh_target
sgRNA_22088687.22089037_22088926_gene	sgRNA_22088687.22089037	enh_target
sgRNA_22088687.22089037_22088973_gene	sgRNA_22088687.22089037	enh_target
sgRNA_22097733.22098066_22097842_gene	sgRNA_22097733.22098066	enh_target
sgRNA_22097733.22098066_22098022_gene	sgRNA_22097733.22098066	enh_target
sgRNA_22097733.22098066_22098036_gene	sgRNA_22097733.22098066	enh_target
sgRNA_22098665.22099204_22098830_gene	sgRNA_22098665.22099204	enh_target
sgRNA_22098665.22099204_22098835_gene	sgRNA_22098665.22099204	enh_target
sgRNA_22098665.22099204_22099064_gene	sgRNA_22098665.22099204	enh_target
sgRNA_22098665.22099204_22099151_gene	sgRNA_22098665.22099204	enh_target
sgRNA_22100742.22100978_22100775_gene	sgRNA_22100742.22100978	enh_target
sgRNA_22100742.22100978_22100844_gene	sgRNA_22100742.22100978	enh_target
sgRNA_22100742.22100978_22100855_gene	sgRNA_22100742.22100978	enh_target
sgRNA_22100742.22100978_22100939_gene	sgRNA_22100742.22100978	enh_target
sgRNA_22102660.22103014_22102834_gene	sgRNA_22102660.22103014	enh_target
sgRNA_22102660.22103014_22102863_gene	sgRNA_22102660.22103014	enh_target
sgRNA_22102660.22103014_22102892_gene	sgRNA_22102660.22103014	enh_target
sgRNA_22102660.22103014_22102936_gene	sgRNA_22102660.22103014	enh_target
sgRNA_22103197.22103638_22103368_gene	sgRNA_22103197.22103638	enh_target
sgRNA_22103197.22103638_22103513_gene	sgRNA_22103197.22103638	enh_target
sgRNA_22103197.22103638_22103560_gene	sgRNA_22103197.22103638	enh_target
sgRNA_22107196.22107619_22107228_gene	sgRNA_22107196.22107619	enh_target
sgRNA_22107196.22107619_22107295_gene	sgRNA_22107196.22107619	enh_target
sgRNA_22107196.22107619_22107334_gene	sgRNA_22107196.22107619	enh_target
sgRNA_22107196.22107619_22107369_gene	sgRNA_22107196.22107619	enh_target
sgRNA_22107679.22107951_22107794_gene	sgRNA_22107679.22107951	enh_target
sgRNA_22107679.22107951_22107843_gene	sgRNA_22107679.22107951	enh_target
sgRNA_22107679.22107951_22107871_gene	sgRNA_22107679.22107951	enh_target
sgRNA_22107679.22107951_22107887_gene	sgRNA_22107679.22107951	enh_target
sgRNA_22108542.22108924_22108544_gene	sgRNA_22108542.22108924	enh_target
sgRNA_22108542.22108924_22108774_gene	sgRNA_22108542.22108924	enh_target
sgRNA_22108542.22108924_22108812_gene	sgRNA_22108542.22108924	enh_target
sgRNA_22108542.22108924_22108818_gene	sgRNA_22108542.22108924	enh_target
sgRNA_22109107.22109299_22109107_gene	sgRNA_22109107.22109299	enh_target
sgRNA_22109107.22109299_22109192_gene	sgRNA_22109107.22109299	enh_target
sgRNA_22109107.22109299_22109245_gene	sgRNA_22109107.22109299	enh_target
sgRNA_22109107.22109299_22109260_gene	sgRNA_22109107.22109299	enh_target
sgRNA_22110048.22110235_22110071_gene	sgRNA_22110048.22110235	enh_target
sgRNA_22110048.22110235_22110123_gene	sgRNA_22110048.22110235	enh_target
sgRNA_22110048.22110235_22110157_gene	sgRNA_22110048.22110235	enh_target
sgRNA_22111189.22111552_22111262_gene	sgRNA_22111189.22111552	enh_target
sgRNA_22111189.22111552_22111265_gene	sgRNA_22111189.22111552	enh_target
sgRNA_22111189.22111552_22111309_gene	sgRNA_22111189.22111552	enh_target
sgRNA_22111189.22111552_22111328_gene	sgRNA_22111189.22111552	enh_target
sgRNA_22111884.22112211_22111910_gene	sgRNA_22111884.22112211	enh_target
sgRNA_22111884.22112211_22111985_gene	sgRNA_22111884.22112211	enh_target
sgRNA_22111884.22112211_22112102_gene	sgRNA_22111884.22112211	enh_target
sgRNA_22111884.22112211_22112128_gene	sgRNA_22111884.22112211	enh_target
sgRNA_22114639.22115733_22115198_gene	sgRNA_22114639.22115733	enh_target
sgRNA_22114639.22115733_22115349_gene	sgRNA_22114639.22115733	enh_target
sgRNA_22114639.22115733_22115620_gene	sgRNA_22114639.22115733	enh_target
sgRNA_22114639.22115733_22115653_gene	sgRNA_22114639.22115733	enh_target
sgRNA_22117396.22117775_22117513_gene	sgRNA_22117396.22117775	enh_target
sgRNA_22117396.22117775_22117631_gene	sgRNA_22117396.22117775	enh_target
sgRNA_22117396.22117775_22117691_gene	sgRNA_22117396.22117775	enh_target
sgRNA_22117396.22117775_22117737_gene	sgRNA_22117396.22117775	enh_target
sgRNA_22117784.22118022_22117876_gene	sgRNA_22117784.22118022	enh_target
sgRNA_22117784.22118022_22117914_gene	sgRNA_22117784.22118022	enh_target
sgRNA_22117784.22118022_22117988_gene	sgRNA_22117784.22118022	enh_target
sgRNA_22117784.22118022_22118017_gene	sgRNA_22117784.22118022	enh_target
sgRNA_22118100.22118351_22118122_gene	sgRNA_22118100.22118351	enh_target
sgRNA_22118100.22118351_22118151_gene	sgRNA_22118100.22118351	enh_target
sgRNA_22118100.22118351_22118193_gene	sgRNA_22118100.22118351	enh_target
sgRNA_22118100.22118351_22118216_gene	sgRNA_22118100.22118351	enh_target
sgRNA_22118558.22118792_22118580_gene	sgRNA_22118558.22118792	enh_target
sgRNA_22118558.22118792_22118602_gene	sgRNA_22118558.22118792	enh_target
sgRNA_22118558.22118792_22118662_gene	sgRNA_22118558.22118792	enh_target
sgRNA_22118558.22118792_22118744_gene	sgRNA_22118558.22118792	enh_target
sgRNA_22119168.22119366_22119172_gene	sgRNA_22119168.22119366	enh_target
sgRNA_22119168.22119366_22119195_gene	sgRNA_22119168.22119366	enh_target
sgRNA_22119168.22119366_22119359_gene	sgRNA_22119168.22119366	enh_target
sgRNA_22119639.22119853_22119657_gene	sgRNA_22119639.22119853	enh_target
sgRNA_22119639.22119853_22119736_gene	sgRNA_22119639.22119853	enh_target
sgRNA_22119639.22119853_22119770_gene	sgRNA_22119639.22119853	enh_target
sgRNA_22119639.22119853_22119807_gene	sgRNA_22119639.22119853	enh_target
sgRNA_22120609.22120986_22120665_gene	sgRNA_22120609.22120986	enh_target
sgRNA_22120609.22120986_22120747_gene	sgRNA_22120609.22120986	enh_target
sgRNA_22120609.22120986_22120831_gene	sgRNA_22120609.22120986	enh_target
sgRNA_22120609.22120986_22120987_gene	sgRNA_22120609.22120986	enh_target
sgRNA_22121333.22121499_22121403_gene	sgRNA_22121333.22121499	enh_target
sgRNA_22121333.22121499_22121464_gene	sgRNA_22121333.22121499	enh_target
sgRNA_22121333.22121499_22121472_gene	sgRNA_22121333.22121499	enh_target
sgRNA_22121333.22121499_22121473_gene	sgRNA_22121333.22121499	enh_target
sgRNA_22124373.22124582_22124383_gene	sgRNA_22124373.22124582	enh_target
sgRNA_22124373.22124582_22124428_gene	sgRNA_22124373.22124582	enh_target
sgRNA_22124373.22124582_22124438_gene	sgRNA_22124373.22124582	enh_target
sgRNA_22124373.22124582_22124455_gene	sgRNA_22124373.22124582	enh_target
sgRNA_22124598.22124976_22124694_gene	sgRNA_22124598.22124976	enh_target
sgRNA_22124598.22124976_22124786_gene	sgRNA_22124598.22124976	enh_target
sgRNA_22124598.22124976_22124798_gene	sgRNA_22124598.22124976	enh_target
sgRNA_22124598.22124976_22124931_gene	sgRNA_22124598.22124976	enh_target
sgRNA_22125328.22125519_22125412_gene	sgRNA_22125328.22125519	enh_target
sgRNA_22125328.22125519_22125451_gene	sgRNA_22125328.22125519	enh_target
sgRNA_22125328.22125519_22125519_gene	sgRNA_22125328.22125519	enh_target
sgRNA_22125328.22125519_22125520_gene	sgRNA_22125328.22125519	enh_target
sgRNA_22129183.22129538_22129263_gene	sgRNA_22129183.22129538	enh_target
sgRNA_22129183.22129538_22129268_gene	sgRNA_22129183.22129538	enh_target
sgRNA_22129183.22129538_22129362_gene	sgRNA_22129183.22129538	enh_target
sgRNA_22136699.22137102_22136856_gene	sgRNA_22136699.22137102	enh_target
sgRNA_22136699.22137102_22136952_gene	sgRNA_22136699.22137102	enh_target
sgRNA_22136699.22137102_22136958_gene	sgRNA_22136699.22137102	enh_target
sgRNA_22136699.22137102_22136971_gene	sgRNA_22136699.22137102	enh_target
sgRNA_22139099.22139306_22139108_gene	sgRNA_22139099.22139306	enh_target
sgRNA_22139099.22139306_22139143_gene	sgRNA_22139099.22139306	enh_target
sgRNA_22139099.22139306_22139173_gene	sgRNA_22139099.22139306	enh_target
sgRNA_22141948.22142311_22141987_gene	sgRNA_22141948.22142311	enh_target
sgRNA_22141948.22142311_22142075_gene	sgRNA_22141948.22142311	enh_target
sgRNA_22141948.22142311_22142108_gene	sgRNA_22141948.22142311	enh_target
sgRNA_22141948.22142311_22142145_gene	sgRNA_22141948.22142311	enh_target
sgRNA_22142693.22143075_22142831_gene	sgRNA_22142693.22143075	enh_target
sgRNA_22142693.22143075_22142900_gene	sgRNA_22142693.22143075	enh_target
sgRNA_22142693.22143075_22142904_gene	sgRNA_22142693.22143075	enh_target
sgRNA_22142693.22143075_22142983_gene	sgRNA_22142693.22143075	enh_target
sgRNA_22144295.22144611_22144340_gene	sgRNA_22144295.22144611	enh_target
sgRNA_22144295.22144611_22144410_gene	sgRNA_22144295.22144611	enh_target
sgRNA_22144295.22144611_22144472_gene	sgRNA_22144295.22144611	enh_target
sgRNA_22144295.22144611_22144514_gene	sgRNA_22144295.22144611	enh_target
sgRNA_22147840.22148133_22147864_gene	sgRNA_22147840.22148133	enh_target
sgRNA_22147840.22148133_22147884_gene	sgRNA_22147840.22148133	enh_target
sgRNA_22147840.22148133_22147981_gene	sgRNA_22147840.22148133	enh_target
sgRNA_22147840.22148133_22148120_gene	sgRNA_22147840.22148133	enh_target
sgRNA_22148199.22148548_22148299_gene	sgRNA_22148199.22148548	enh_target
sgRNA_22148199.22148548_22148321_gene	sgRNA_22148199.22148548	enh_target
sgRNA_22148199.22148548_22148387_gene	sgRNA_22148199.22148548	enh_target
sgRNA_22148199.22148548_22148458_gene	sgRNA_22148199.22148548	enh_target
sgRNA_22148828.22149225_22148956_gene	sgRNA_22148828.22149225	enh_target
sgRNA_22148828.22149225_22149049_gene	sgRNA_22148828.22149225	enh_target
sgRNA_22148828.22149225_22149088_gene	sgRNA_22148828.22149225	enh_target
sgRNA_22148828.22149225_22149194_gene	sgRNA_22148828.22149225	enh_target
sgRNA_22152945.22153183_22152965_gene	sgRNA_22152945.22153183	enh_target
sgRNA_22152945.22153183_22153102_gene	sgRNA_22152945.22153183	enh_target
sgRNA_22152945.22153183_22153103_gene	sgRNA_22152945.22153183	enh_target
sgRNA_22152945.22153183_22153107_gene	sgRNA_22152945.22153183	enh_target
sgRNA_22154472.22154754_22154673_gene	sgRNA_22154472.22154754	enh_target
sgRNA_22154472.22154754_22154707_gene	sgRNA_22154472.22154754	enh_target
sgRNA_22154472.22154754_22154722_gene	sgRNA_22154472.22154754	enh_target
sgRNA_22154758.22154864_22154773_gene	sgRNA_22154758.22154864	enh_target
sgRNA_22154758.22154864_22154792_gene	sgRNA_22154758.22154864	enh_target
sgRNA_22154758.22154864_22154811_gene	sgRNA_22154758.22154864	enh_target
sgRNA_22154758.22154864_22154828_gene	sgRNA_22154758.22154864	enh_target
sgRNA_22156679.22156971_22156697_gene	sgRNA_22156679.22156971	enh_target
sgRNA_22156679.22156971_22156794_gene	sgRNA_22156679.22156971	enh_target
sgRNA_22157140.22157718_22157338_gene	sgRNA_22157140.22157718	enh_target
sgRNA_22157140.22157718_22157341_gene	sgRNA_22157140.22157718	enh_target
sgRNA_22157140.22157718_22157437_gene	sgRNA_22157140.22157718	enh_target
sgRNA_22157140.22157718_22157447_gene	sgRNA_22157140.22157718	enh_target
sgRNA_22158341.22158535_22158342_gene	sgRNA_22158341.22158535	enh_target
sgRNA_22158341.22158535_22158392_gene	sgRNA_22158341.22158535	enh_target
sgRNA_22158341.22158535_22158433_gene	sgRNA_22158341.22158535	enh_target
sgRNA_22158341.22158535_22158438_gene	sgRNA_22158341.22158535	enh_target
sgRNA_22158913.22159439_22159063_gene	sgRNA_22158913.22159439	enh_target
sgRNA_22158913.22159439_22159097_gene	sgRNA_22158913.22159439	enh_target
sgRNA_22158913.22159439_22159129_gene	sgRNA_22158913.22159439	enh_target
sgRNA_22158913.22159439_22159158_gene	sgRNA_22158913.22159439	enh_target
sgRNA_22159596.22159962_22159782_gene	sgRNA_22159596.22159962	enh_target
sgRNA_22159596.22159962_22159917_gene	sgRNA_22159596.22159962	enh_target
sgRNA_22159596.22159962_22159952_gene	sgRNA_22159596.22159962	enh_target
sgRNA_22159596.22159962_22159956_gene	sgRNA_22159596.22159962	enh_target
sgRNA_22165197.22165547_22165220_gene	sgRNA_22165197.22165547	enh_target
sgRNA_22165197.22165547_22165430_gene	sgRNA_22165197.22165547	enh_target
sgRNA_22165197.22165547_22165483_gene	sgRNA_22165197.22165547	enh_target
sgRNA_22165197.22165547_22165541_gene	sgRNA_22165197.22165547	enh_target
sgRNA_22166049.22166427_22166176_gene	sgRNA_22166049.22166427	enh_target
sgRNA_22166049.22166427_22166222_gene	sgRNA_22166049.22166427	enh_target
sgRNA_22166049.22166427_22166244_gene	sgRNA_22166049.22166427	enh_target
sgRNA_22166049.22166427_22166264_gene	sgRNA_22166049.22166427	enh_target
sgRNA_22167088.22167312_22167160_gene	sgRNA_22167088.22167312	enh_target
sgRNA_22167088.22167312_22167169_gene	sgRNA_22167088.22167312	enh_target
sgRNA_22167088.22167312_22167173_gene	sgRNA_22167088.22167312	enh_target
sgRNA_22167088.22167312_22167208_gene	sgRNA_22167088.22167312	enh_target
sgRNA_22168991.22169151_22169003_gene	sgRNA_22168991.22169151	enh_target
sgRNA_22168991.22169151_22169007_gene	sgRNA_22168991.22169151	enh_target
sgRNA_22168991.22169151_22169095_gene	sgRNA_22168991.22169151	enh_target
sgRNA_22169216.22169589_22169280_gene	sgRNA_22169216.22169589	enh_target
sgRNA_22169216.22169589_22169315_gene	sgRNA_22169216.22169589	enh_target
sgRNA_22169216.22169589_22169406_gene	sgRNA_22169216.22169589	enh_target
sgRNA_22169216.22169589_22169422_gene	sgRNA_22169216.22169589	enh_target
sgRNA_22170179.22170509_22170333_gene	sgRNA_22170179.22170509	enh_target
sgRNA_22170179.22170509_22170356_gene	sgRNA_22170179.22170509	enh_target
sgRNA_22170179.22170509_22170461_gene	sgRNA_22170179.22170509	enh_target
sgRNA_22170179.22170509_22170469_gene	sgRNA_22170179.22170509	enh_target
sgRNA_22171367.22171595_22171405_gene	sgRNA_22171367.22171595	enh_target
sgRNA_22171367.22171595_22171454_gene	sgRNA_22171367.22171595	enh_target
sgRNA_22171367.22171595_22171486_gene	sgRNA_22171367.22171595	enh_target
sgRNA_22175988.22176348_22176121_gene	sgRNA_22175988.22176348	enh_target
sgRNA_22175988.22176348_22176152_gene	sgRNA_22175988.22176348	enh_target
sgRNA_22175988.22176348_22176186_gene	sgRNA_22175988.22176348	enh_target
sgRNA_22175988.22176348_22176188_gene	sgRNA_22175988.22176348	enh_target
sgRNA_22176354.22176885_22176495_gene	sgRNA_22176354.22176885	enh_target
sgRNA_22176354.22176885_22176610_gene	sgRNA_22176354.22176885	enh_target
sgRNA_22176354.22176885_22176687_gene	sgRNA_22176354.22176885	enh_target
sgRNA_22176354.22176885_22176721_gene	sgRNA_22176354.22176885	enh_target
sgRNA_22183781.22184020_22183922_gene	sgRNA_22183781.22184020	enh_target
sgRNA_22183781.22184020_22183961_gene	sgRNA_22183781.22184020	enh_target
sgRNA_22183781.22184020_22183969_gene	sgRNA_22183781.22184020	enh_target
sgRNA_22183781.22184020_22183998_gene	sgRNA_22183781.22184020	enh_target
sgRNA_22186896.22187389_22186992_gene	sgRNA_22186896.22187389	enh_target
sgRNA_22186896.22187389_22186998_gene	sgRNA_22186896.22187389	enh_target
sgRNA_22186896.22187389_22187220_gene	sgRNA_22186896.22187389	enh_target
sgRNA_22192993.22193454_22193131_gene	sgRNA_22192993.22193454	enh_target
sgRNA_22192993.22193454_22193156_gene	sgRNA_22192993.22193454	enh_target
sgRNA_22192993.22193454_22193223_gene	sgRNA_22192993.22193454	enh_target
sgRNA_22197037.22197402_22197170_gene	sgRNA_22197037.22197402	enh_target
sgRNA_22197037.22197402_22197180_gene	sgRNA_22197037.22197402	enh_target
sgRNA_22197037.22197402_22197194_gene	sgRNA_22197037.22197402	enh_target
sgRNA_22200329.22200669_22200442_gene	sgRNA_22200329.22200669	enh_target
sgRNA_22200329.22200669_22200466_gene	sgRNA_22200329.22200669	enh_target
sgRNA_22200329.22200669_22200537_gene	sgRNA_22200329.22200669	enh_target
sgRNA_22200329.22200669_22200545_gene	sgRNA_22200329.22200669	enh_target
sgRNA_22201152.22201748_22201421_gene	sgRNA_22201152.22201748	enh_target
sgRNA_22201152.22201748_22201454_gene	sgRNA_22201152.22201748	enh_target
sgRNA_22201152.22201748_22201473_gene	sgRNA_22201152.22201748	enh_target
sgRNA_22201152.22201748_22201538_gene	sgRNA_22201152.22201748	enh_target
sgRNA_22203607.22203994_22203647_gene	sgRNA_22203607.22203994	enh_target
sgRNA_22203607.22203994_22203827_gene	sgRNA_22203607.22203994	enh_target
sgRNA_22203607.22203994_22203841_gene	sgRNA_22203607.22203994	enh_target
sgRNA_22203607.22203994_22203929_gene	sgRNA_22203607.22203994	enh_target
sgRNA_22204322.22204670_22204487_gene	sgRNA_22204322.22204670	enh_target
sgRNA_22204322.22204670_22204492_gene	sgRNA_22204322.22204670	enh_target
sgRNA_22204322.22204670_22204530_gene	sgRNA_22204322.22204670	enh_target
sgRNA_22204322.22204670_22204551_gene	sgRNA_22204322.22204670	enh_target
sgRNA_22206899.22207239_22206907_gene	sgRNA_22206899.22207239	enh_target
sgRNA_22206899.22207239_22206922_gene	sgRNA_22206899.22207239	enh_target
sgRNA_22206899.22207239_22207117_gene	sgRNA_22206899.22207239	enh_target
sgRNA_22206899.22207239_22207124_gene	sgRNA_22206899.22207239	enh_target
sgRNA_22208818.22209202_22208848_gene	sgRNA_22208818.22209202	enh_target
sgRNA_22208818.22209202_22208885_gene	sgRNA_22208818.22209202	enh_target
sgRNA_22208818.22209202_22209180_gene	sgRNA_22208818.22209202	enh_target
sgRNA_22210299.22210642_22210406_gene	sgRNA_22210299.22210642	enh_target
sgRNA_22210299.22210642_22210473_gene	sgRNA_22210299.22210642	enh_target
sgRNA_22210299.22210642_22210481_gene	sgRNA_22210299.22210642	enh_target
sgRNA_22210299.22210642_22210503_gene	sgRNA_22210299.22210642	enh_target
sgRNA_22210978.22211316_22211080_gene	sgRNA_22210978.22211316	enh_target
sgRNA_22210978.22211316_22211105_gene	sgRNA_22210978.22211316	enh_target
sgRNA_22210978.22211316_22211118_gene	sgRNA_22210978.22211316	enh_target
sgRNA_22210978.22211316_22211135_gene	sgRNA_22210978.22211316	enh_target
sgRNA_22211647.22212006_22211767_gene	sgRNA_22211647.22212006	enh_target
sgRNA_22211647.22212006_22211852_gene	sgRNA_22211647.22212006	enh_target
sgRNA_22211647.22212006_22211855_gene	sgRNA_22211647.22212006	enh_target
sgRNA_22211647.22212006_22211912_gene	sgRNA_22211647.22212006	enh_target
sgRNA_22212033.22212267_22212104_gene	sgRNA_22212033.22212267	enh_target
sgRNA_22212033.22212267_22212142_gene	sgRNA_22212033.22212267	enh_target
sgRNA_22212033.22212267_22212167_gene	sgRNA_22212033.22212267	enh_target
sgRNA_22212033.22212267_22212180_gene	sgRNA_22212033.22212267	enh_target
sgRNA_22214099.22214353_22214160_gene	sgRNA_22214099.22214353	enh_target
sgRNA_22214099.22214353_22214197_gene	sgRNA_22214099.22214353	enh_target
sgRNA_22214099.22214353_22214247_gene	sgRNA_22214099.22214353	enh_target
sgRNA_22214489.22215025_22214539_gene	sgRNA_22214489.22215025	enh_target
sgRNA_22214489.22215025_22214730_gene	sgRNA_22214489.22215025	enh_target
sgRNA_22214489.22215025_22214918_gene	sgRNA_22214489.22215025	enh_target
sgRNA_22214489.22215025_22214930_gene	sgRNA_22214489.22215025	enh_target
sgRNA_22216796.22217209_22216934_gene	sgRNA_22216796.22217209	enh_target
sgRNA_22216796.22217209_22216966_gene	sgRNA_22216796.22217209	enh_target
sgRNA_22216796.22217209_22217020_gene	sgRNA_22216796.22217209	enh_target
sgRNA_22216796.22217209_22217046_gene	sgRNA_22216796.22217209	enh_target
sgRNA_22228595.22228864_22228620_gene	sgRNA_22228595.22228864	enh_target
sgRNA_22228595.22228864_22228625_gene	sgRNA_22228595.22228864	enh_target
sgRNA_22228595.22228864_22228675_gene	sgRNA_22228595.22228864	enh_target
sgRNA_22228595.22228864_22228759_gene	sgRNA_22228595.22228864	enh_target
sgRNA_22237537.22237902_22237673_gene	sgRNA_22237537.22237902	enh_target
sgRNA_22237537.22237902_22237711_gene	sgRNA_22237537.22237902	enh_target
sgRNA_22237537.22237902_22237786_gene	sgRNA_22237537.22237902	enh_target
sgRNA_22237908.22238257_22238011_gene	sgRNA_22237908.22238257	enh_target
sgRNA_22237908.22238257_22238085_gene	sgRNA_22237908.22238257	enh_target
sgRNA_22237908.22238257_22238141_gene	sgRNA_22237908.22238257	enh_target
sgRNA_22240607.22241123_22240742_gene	sgRNA_22240607.22241123	enh_target
sgRNA_22240607.22241123_22240901_gene	sgRNA_22240607.22241123	enh_target
sgRNA_22240607.22241123_22241076_gene	sgRNA_22240607.22241123	enh_target
sgRNA_22240607.22241123_22241093_gene	sgRNA_22240607.22241123	enh_target
sgRNA_22244141.22244453_22244290_gene	sgRNA_22244141.22244453	enh_target
sgRNA_22244141.22244453_22244317_gene	sgRNA_22244141.22244453	enh_target
sgRNA_22244141.22244453_22244320_gene	sgRNA_22244141.22244453	enh_target
sgRNA_22244141.22244453_22244333_gene	sgRNA_22244141.22244453	enh_target
sgRNA_22244669.22245061_22244764_gene	sgRNA_22244669.22245061	enh_target
sgRNA_22244669.22245061_22244805_gene	sgRNA_22244669.22245061	enh_target
sgRNA_22244669.22245061_22244881_gene	sgRNA_22244669.22245061	enh_target
sgRNA_22244669.22245061_22244922_gene	sgRNA_22244669.22245061	enh_target
sgRNA_22256470.22256708_22256530_gene	sgRNA_22256470.22256708	enh_target
sgRNA_22256470.22256708_22256640_gene	sgRNA_22256470.22256708	enh_target
sgRNA_22256470.22256708_22256661_gene	sgRNA_22256470.22256708	enh_target
sgRNA_22256470.22256708_22256688_gene	sgRNA_22256470.22256708	enh_target
sgRNA_22257028.22257383_22257036_gene	sgRNA_22257028.22257383	enh_target
sgRNA_22257028.22257383_22257071_gene	sgRNA_22257028.22257383	enh_target
sgRNA_22257028.22257383_22257132_gene	sgRNA_22257028.22257383	enh_target
sgRNA_22257028.22257383_22257283_gene	sgRNA_22257028.22257383	enh_target
sgRNA_22257406.22257722_22257612_gene	sgRNA_22257406.22257722	enh_target
sgRNA_22257406.22257722_22257633_gene	sgRNA_22257406.22257722	enh_target
sgRNA_22257406.22257722_22257636_gene	sgRNA_22257406.22257722	enh_target
sgRNA_22257406.22257722_22257661_gene	sgRNA_22257406.22257722	enh_target
