gene_id	gRNA_group	pair_type
p14.dialup	safe.harbor_pre_38_gene	negative_control
CDKN2B	safe.harbor_pre_39_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_39_gene	negative_control
p16.dialup	safe.harbor_pre_39_gene	negative_control
MTAP	safe.harbor_pre_39_gene	negative_control
DMRTA1	safe.harbor_pre_39_gene	negative_control
IFNB1	safe.harbor_pre_39_gene	negative_control
IFNE	safe.harbor_pre_39_gene	negative_control
IFNWP19	safe.harbor_pre_39_gene	negative_control
p14.dialup	safe.harbor_pre_39_gene	negative_control
CDKN2B	safe.harbor_pre_40_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_40_gene	negative_control
p16.dialup	safe.harbor_pre_40_gene	negative_control
MTAP	safe.harbor_pre_40_gene	negative_control
DMRTA1	safe.harbor_pre_40_gene	negative_control
IFNB1	safe.harbor_pre_40_gene	negative_control
IFNE	safe.harbor_pre_40_gene	negative_control
IFNWP19	safe.harbor_pre_40_gene	negative_control
p14.dialup	safe.harbor_pre_40_gene	negative_control
CDKN2B	safe.harbor_pre_41_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_41_gene	negative_control
p16.dialup	safe.harbor_pre_41_gene	negative_control
MTAP	safe.harbor_pre_41_gene	negative_control
DMRTA1	safe.harbor_pre_41_gene	negative_control
IFNB1	safe.harbor_pre_41_gene	negative_control
IFNE	safe.harbor_pre_41_gene	negative_control
IFNWP19	safe.harbor_pre_41_gene	negative_control
p14.dialup	safe.harbor_pre_41_gene	negative_control
CDKN2B	safe.harbor_pre_42_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_42_gene	negative_control
p16.dialup	safe.harbor_pre_42_gene	negative_control
MTAP	safe.harbor_pre_42_gene	negative_control
DMRTA1	safe.harbor_pre_42_gene	negative_control
IFNB1	safe.harbor_pre_42_gene	negative_control
IFNE	safe.harbor_pre_42_gene	negative_control
IFNWP19	safe.harbor_pre_42_gene	negative_control
p14.dialup	safe.harbor_pre_42_gene	negative_control
CDKN2B	safe.harbor_pre_43_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_43_gene	negative_control
p16.dialup	safe.harbor_pre_43_gene	negative_control
MTAP	safe.harbor_pre_43_gene	negative_control
DMRTA1	safe.harbor_pre_43_gene	negative_control
IFNB1	safe.harbor_pre_43_gene	negative_control
IFNE	safe.harbor_pre_43_gene	negative_control
IFNWP19	safe.harbor_pre_43_gene	negative_control
p14.dialup	safe.harbor_pre_43_gene	negative_control
CDKN2B	safe.harbor_pre_44_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_44_gene	negative_control
p16.dialup	safe.harbor_pre_44_gene	negative_control
MTAP	safe.harbor_pre_44_gene	negative_control
DMRTA1	safe.harbor_pre_44_gene	negative_control
IFNB1	safe.harbor_pre_44_gene	negative_control
IFNE	safe.harbor_pre_44_gene	negative_control
IFNWP19	safe.harbor_pre_44_gene	negative_control
p14.dialup	safe.harbor_pre_44_gene	negative_control
CDKN2B	safe.harbor_pre_45_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_45_gene	negative_control
p16.dialup	safe.harbor_pre_45_gene	negative_control
MTAP	safe.harbor_pre_45_gene	negative_control
DMRTA1	safe.harbor_pre_45_gene	negative_control
IFNB1	safe.harbor_pre_45_gene	negative_control
IFNE	safe.harbor_pre_45_gene	negative_control
IFNWP19	safe.harbor_pre_45_gene	negative_control
p14.dialup	safe.harbor_pre_45_gene	negative_control
CDKN2B	safe.harbor_pre_46_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_46_gene	negative_control
p16.dialup	safe.harbor_pre_46_gene	negative_control
MTAP	safe.harbor_pre_46_gene	negative_control
