response_id	grna_group
CDKN2B	sgRNA_21936083.21936630_21936289_gene
p16.dialup	sgRNA_21936083.21936630_21936289_gene
p14.dialup	sgRNA_21936083.21936630_21936289_gene
CDKN2B	sgRNA_21936083.21936630_21936332_gene
p16.dialup	sgRNA_21936083.21936630_21936332_gene
p14.dialup	sgRNA_21936083.21936630_21936332_gene
CDKN2B	sgRNA_21949048.21949358_21949077_gene
p16.dialup	sgRNA_21949048.21949358_21949077_gene
p14.dialup	sgRNA_21949048.21949358_21949077_gene
CDKN2B	sgRNA_21949048.21949358_21949210_gene
p16.dialup	sgRNA_21949048.21949358_21949210_gene
p14.dialup	sgRNA_21949048.21949358_21949210_gene
CDKN2B	sgRNA_21949048.21949358_21949267_gene
p16.dialup	sgRNA_21949048.21949358_21949267_gene
p14.dialup	sgRNA_21949048.21949358_21949267_gene
CDKN2B	sgRNA_21949048.21949358_21949326_gene
p16.dialup	sgRNA_21949048.21949358_21949326_gene
p14.dialup	sgRNA_21949048.21949358_21949326_gene
CDKN2B	sgRNA_21949747.21950002_21949816_gene
p16.dialup	sgRNA_21949747.21950002_21949816_gene
p14.dialup	sgRNA_21949747.21950002_21949816_gene
CDKN2B	sgRNA_21949747.21950002_21949840_gene
p16.dialup	sgRNA_21949747.21950002_21949840_gene
p14.dialup	sgRNA_21949747.21950002_21949840_gene
CDKN2B	sgRNA_21949747.21950002_21949843_gene
p16.dialup	sgRNA_21949747.21950002_21949843_gene
p14.dialup	sgRNA_21949747.21950002_21949843_gene
CDKN2B	sgRNA_21949747.21950002_21949945_gene
p16.dialup	sgRNA_21949747.21950002_21949945_gene
p14.dialup	sgRNA_21949747.21950002_21949945_gene
CDKN2B	sgRNA_21950432.21950893_21950445_gene
p16.dialup	sgRNA_21950432.21950893_21950445_gene
p14.dialup	sgRNA_21950432.21950893_21950445_gene
CDKN2B	sgRNA_21950432.21950893_21950586_gene
p16.dialup	sgRNA_21950432.21950893_21950586_gene
p14.dialup	sgRNA_21950432.21950893_21950586_gene
